Location,HomeTeam
Manchester,Man United
London,Tottenham
London,Arsenal
London,West Ham
Manchester,Man City
Liverpool,Liverpool
Newcastle upon Tyne,Newcastle
Sunderland,Sunderland
Birmingham,Aston Villa
London,Chelsea
Sheffield,Sheffield
Liverpool,Everton
Middlesbrough,Middlesbrough
Southampton,Southampton
Leicester,Leicester
Birmingham,Birmingham
Bolton,Bolton
London,Crystal Palace
London,Fulham
Wigan,Wigan
Reading,Reading
Huddersfield,Huddersfield
Watford,Watford
Burnley,Burnley
Portsmouth,Portsmouth
London,QPR
Blackpool,Blackpool
Bournemouth,Bournemouth
Hull,Hull
Blackburn,Blackburn
Stoke on Trent,Stoke
West Bromwich,West Brom
Swansea,Swansea
Norwich,Norwich
Cardiff,Cardiff
Brighton,Brighton
Wolverhampton,Wolves
